articleLink,externalLink,title,rel,dateOfPost
https://inc42.com/buzz/startup-events/inc42-presents-iweekend-mumbai-this-february-at-iit-mumbai/,http://iweekend.org/mumbai/participate/,http://iweekend.org/mumbai/participate/,nofollow,15-0-2013
https://inc42.com/startups/interviews/supr-is-the-word-no-more-excuses-time-to-get-fit/,https://suprgym.com/?hi,https://suprgym.com/?hi,nofollow,14-0-2013
https://inc42.com/buzz/startup-events/an-idea-can-change-your-life/,http://www.isb.edu/gsvc,www.isb.edu/gsvc,nofollow,18-11-2012
https://inc42.com/startups/slave-technologies-our-technology-is-your-slave/,http://www.slavetechnologies.com,Slave technology,nofollow,6-11-2012
https://inc42.com/startups/slave-technologies-our-technology-is-your-slave/,http://www.slavetechnologies.com,www.slavetechnologies.com,nofollow,6-11-2012
https://inc42.com/resources/what-kind-of-problems-do-startups-in-developing-countries-typically-face/,https://www.quora.com/Startups/What-kind-of-problems-do-startups-in-developing-countries-typically-face,Quora by clicking here. ,nofollow,5-11-2012
https://inc42.com/buzz/startup-events/indian-startup-at-the-global-startup-battle-2012/,https://bit.ly/WvMUuk,vote for it here,nofollow,26-10-2012
https://inc42.com/resources/infographic-the-value-of-time-to-small-business-owners/,http://www.mavenlink.com/,Mavenlink,nofollow,16-10-2012
https://inc42.com/startups/interviews/my-journey-from-a-hacker-to-an-entrepreneur/,https://i1.wp.com/hyderabad.startupweekend.org/files/2012/11/SachinGupta.jpeg,,nofollow,10-10-2012
https://inc42.com/startups/interviews/my-journey-from-a-hacker-to-an-entrepreneur/,http://www.mycareerstack.com/,MyCareerStack,nofollow,10-10-2012
https://inc42.com/startups/interviews/my-journey-from-a-hacker-to-an-entrepreneur/,http://launch.justcodeit.co/,JustCodeIt,nofollow,10-10-2012
https://inc42.com/startups/interviews/my-journey-from-a-hacker-to-an-entrepreneur/,http://gsfindia.com/,GSF Accelerator program,nofollow,10-10-2012
https://inc42.com/startups/interviews/my-journey-from-a-hacker-to-an-entrepreneur/,http://www.hackerearth.com/,HackerEarth,nofollow,10-10-2012
https://inc42.com/buzz/startup-events/startup-weekend-hyderabad-the-global-startup-battle-is-here/,http://globalstartupbattle.org/, Global Startup Battle,nofollow,29-9-2012
https://inc42.com/buzz/startup-events/startup-weekend-hyderabad-the-global-startup-battle-is-here/,http://globalstartupbattle.org/,http://globalstartupbattle.org/,nofollow,29-9-2012
https://inc42.com/buzz/startup-events/startup-weekend-hyderabad-the-global-startup-battle-is-here/,http://hyderabad.startupweekend.org,http://hyderabad.startupweekend.org,nofollow,29-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.ted.com/,TED,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://en.wikipedia.org/wiki/Ogilvy_%26_Mather,Ogilvy & Mather,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.ted.com/talks/lang/en/rory_sutherland_sweat_the_small_stuff.html,Sweat The Small Stuff,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Rory-Sutherland-The-Wiki-ebook/dp/B007A2PNQM?tag=thebluswe-20,Rory Sutherland: The Wiki Man,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://en.wikipedia.org/wiki/File:Golden_circle.png,golden circle of motivation,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://blog.startwithwhy.com/,Re:Focus,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Start-Why-Leaders-Inspire-Everyone/dp/1591842808?tag=thebluswe-20,Start With Why: How Great Leaders Inspire Everyone to Take Action,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://danariely.com/,Dan Ariely,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.sethgodin.com/sg/,Seth Godin,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Purple-Cow-New-Transform-Remarkable--/dp/1591843170/ref=sr_1_6?s=books&ie=UTF8&qid=1347391576&sr=1-6&keywords=Seth+Godin?tag=thebluswe-20,Purple Cow: Transform Your Business by Being Remarkable,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/All-Marketers-Liars-Preface-Works--/dp/1591843030/ref=sr_1_7?s=books&ie=UTF8&qid=1347391576&sr=1-7&keywords=Seth+Godin?tag=thebluswe-20,All Marketers Are Liars,nofollow,11-9-2012
